SelectionBoxLabelText 選択中:
SelectedAsset_Label Selected Asset
OnlyUsedAssets_Label Only In-use Assets
SearchHint Name Filter

WidthFieldLabelText 横
HeightFieldLabelText 縦
DepthFieldLabelText 道の高さ
ConcreteToggleLabelText コンクリート

BakeRoadsButtonText 道路の生成
BakeRoadsButtonTooltip 道路を生成する

ModeButtonTooltipText モード
OffsetFieldLabelText オフセット
IgnoreTerrainToggleLabelText 地形を無視
LoopToggleLabelText ループ
RoadIndexLabelText 道ID
RoadAsset_Label Road Asset
RoadAsset_Tooltip Optional asset to load materials and properties from.

Mirror ミラー
Aligned 整列
Free フリー

ListMode_Legacy_Label Legacy
ListMode_Legacy_Tooltip Browse per-level Roads.unity3d bundle.
ListMode_RoadAssets_Label Road Assets
ListMode_RoadAssets_Tooltip Browse global/shared road assets.
ListMode_Label List Mode
