PlayButtonText プレイ
PlayButtonTooltip ゲームを開始する
SurvivorsButtonText キャラクター
SurvivorsButtonTooltip キャラクターの切り替え/カスタマイズ
ConfigurationButtonText 設定
ConfigurationButtonTooltip ゲーム設定の変更
WorkshopButtonText ワークショップ
WorkshopButtonTooltip マップエディタ/Steamワークショップ
ExitButtonText 終了
ExitButtonTooltip ゲームを終了する
BackButtonText 戻る
BackButtonTooltip 前の画面に戻る
NewsTooltip ニュースの詳細を見る

Curated_Workshop_Title Curated: {0}
Highlighted_Workshop_Title 特集: {0}
Featured_Workshop_Title 人気: {0}
Featured_Workshop_Dismiss 却下
ReadMore_Link_On [ 詳細を開く ]
ReadMore_Link_Off [ 閉じる ]
Featured_Workshop_Link ワークショップのアイテムを見る
Featured_Workshop_Sub 登録
Featured_Workshop_Unsub 登録解除
Subscribe_Tooltip {0} を登録します
Unsubscribe_Tooltip {0} の登録を解除します
Featured_Workshop_Stockpile_Link Stockpileで {0} を見る
News_Author {0} - {1}
News_Comments_Link コメントを見る

Banned サーバーから追放されました。{0} 理由: {1}
Kicked サーバーからキックされました。 理由: {0}
Whitelisted ホワイトリストに追加されていません。 
Password パスワードが間違っています。 
Full このサーバーは満員です。 

# https://support.smartlydressedgames.com/hc/en-us/articles/12230991951124
Hash_Level このサーバーはカスタムされたマップを使用しています。 

# https://support.smartlydressedgames.com/hc/en-us/articles/12233096287124
Hash_Assembly このサーバーはカスタムされたコードを使用しています。 

# https://support.smartlydressedgames.com/hc/en-us/articles/20343153432468
Hash_Resources 内蔵リソースの不一致。ゲームファイルの整合性を検証すると、この問題が解決されます。

SkinColorWithinThresholdOfTerrainColor キャラクターの肌の色が、レベルの地形の色の1つと似すぎています。肌の色を変更するか、別のキャラクターに変更してください。

Steam_ID_Mismatch あなたのSteamアカウントと、サーバーに接続するために使用したアカウントが一致しません。
Connect_Rate_Limiting 参加リクエストが多すぎます！数分後に再度お試しください。
Bad_Packet_Rate_Limiting 接続に問題が発生しました！数分後に再度お試しください。
Too_Many_Clients_With_Same_IP_Address お使いのIPアドレスからのプレイヤー数に制限に達しました！数分後に再度お試しください。

Version このサーバーは別バージョンのゲームを使用しています。 
Pro_Server このサーバーに接続するにはゴールドアカウントが必要です｡
Pro_Character 有効なキャラクターを選択してください｡

# https://support.smartlydressedgames.com/hc/en-us/articles/12112937823764
Pro_Desync クライアント/サーバー間での同期に失敗しました｡

Pro_Appearance 有効な顔、髪型、髭、肌・髪の色を選択してください｡
Auth_Verification 認証チケットの確認に失敗しました。
Auth_No_Steam Steamに接続されていません。
Auth_License_Expired 認証チケットの期限が切れています。

# https://support.smartlydressedgames.com/hc/en-us/articles/12237672383892
Auth_VAC_Ban VACに保護されたサーバーから追放されています。(VAC ban)

Auth_Elsewhere 既に別なサーバーでプレイしています。

# https://support.smartlydressedgames.com/hc/en-us/articles/12233657269140
Auth_Timed_Out VACサーバーからの応答がありません。

Auth_Used 認証チケットが既に使用されています。
Auth_No_User アカウントと接続されていません。

# https://support.smartlydressedgames.com/hc/en-us/articles/12233962470548
Auth_Pub_Ban マルチプレイヤーサーバーから追放されました。(Public ban)

Auth_Network_Identity_Failure サーバーのSteam IDが変更されたため、認証に失敗しました。サーバーが再起動されたか、Game Server Login Tokenが変更された可能性があります。サーバーリストを更新すると解決します。

Auth_Econ_Serialize Steamエコノミー チケットのシリアル化に失敗しました｡
Auth_Econ_Deserialize Steamエコノミー チケットのシリアル複合化に失敗しました｡
Auth_Econ_Verify Steamエコノミー チケットの確認に失敗しました｡

# https://support.smartlydressedgames.com/hc/en-us/articles/12238777357716
Auth_Empty The Steam認証サーバーからの応答がありません。

Already_Connected 既にこのサーバーに接続しています｡
Already_Pending 既にこのサーバーに接続しようとしています｡
Late_Pending 接続待ちの順位を失いました｡
Not_Pending このサーバーでプレイしていません｡
Name_Player_Short Steamのユーザー名が短すぎます。 
Name_Player_Long Steamのユーザー名が長すぎます。 

# https://support.smartlydressedgames.com/hc/en-us/articles/13452208765716
Name_Player_Invalid Steamのユーザー名に不正な文字が含まれています。 

Name_Player_Number 数字だけのSteamユーザー名ではプレイできません。 
Name_Character_Short キャラクター名が短すぎます。 
Name_Character_Long キャラクター名が長すぎます。 

# https://support.smartlydressedgames.com/hc/en-us/articles/13452208765716
Name_Character_Invalid キャラクター名に不正な文字が含まれています。 

Name_Character_Number 数字だけのキャラクター名ではプレイできません。 

# https://support.smartlydressedgames.com/hc/en-us/articles/12236562526228
Timed_Out 接続がタイムアウトしました。 

# https://support.smartlydressedgames.com/hc/en-us/articles/12236323445396
Timed_Out_Login このサーバーはキューに受け付けた後、応答しませんでした。おそらくサーバーかプラグインのバグかネットワークの問題でしょう。

# https://support.smartlydressedgames.com/hc/en-us/articles/12230327880980
Map このサーバーはカスタムマップを使用しています。 

Shutdown このサーバーはシャットダウンされました。 
Shutdown_Reason このサーバーは以下の理由でシャットダウンされました。: {0}
PingV2 検出されたping ({0}ms) がサーバーの最大値 {1}msを超えたため切断されました。
Plugin このサーバーではあなたをフィルタするプラグインを使用しています｡
Plugin_Reason Plugin: {0}
Barricade バリケードのカスタムアセットファイルが見つかりません｡
Structure 構造物のカスタムアセットファイルが見つかりません｡
Vehicle 車両のカスタムアセットファイルが見つかりません｡
Client_Module_Desync サーバーはクライアントが使用しているモジュールを使用していません｡
Server_Module_Desync サーバーで使用しているモジュールがクライアントにありません｡

# https://support.smartlydressedgames.com/hc/en-us/articles/12113364891796
BattlEye_Broken BattlEye: サービスがインストールされていないか、正しく実行されていません｡ ランチャーから再起動してください｡ BattlEyeをアンインストールまたはインストールをしなかった場合、 Unturned/BattlEye フォルダにある Install_BattlEye.bat を実行することによって再インストールが可能です｡
# https://support.smartlydressedgames.com/hc/en-us/articles/12113364891796
BattlEye_Update BattlEye: サービスのアップデートが必要です｡ ランチャーから再起動してください｡
# https://support.smartlydressedgames.com/hc/en-us/articles/12113364891796
BattlEye_Unknown BattlEye: 不明なリクエストです｡ ランチャーから再起動してください｡

Level_Version このサーバーには {1} のバージョン {0} がインストールされていますが、あなたにはバージョン {2} がインストールされています。

# https://support.smartlydressedgames.com/hc/en-us/articles/12235019853844
Econ_Hash このサーバーでは、インベントリのバージョンが異なります。

# https://support.smartlydressedgames.com/hc/en-us/articles/12235744541588
Master_Bundle_Hash アセットバンドルエラー: {0}

Failure_Unknown 不明な不具合: {0} 理由: {1}
Reject_Unknown 理由は不明だが拒否された: {0}
Workshop_Download_Restriction サーバーは、{0} 制作者からコンテンツの使用を許可されていませんでした。
Workshop_Advertisement_Mismatch サーバーはワークショップのアイテムなしで表示されましたが、ワークショップのダウンロードを要求しました。

# https://support.smartlydressedgames.com/hc/en-us/articles/12234373472660
Late_Pending_Steam_Auth ゲームサーバーがSteam認証サーバーからの応答を受信しなかった。

# https://support.smartlydressedgames.com/hc/en-us/articles/12234695640596
Late_Pending_Steam_Econ ゲームサーバーがSteamのエコノミーサーバーからaを受信しなかった。

# https://support.smartlydressedgames.com/hc/en-us/articles/12233488033172
Late_Pending_Steam_Groups ゲームサーバーは、Steamグループのサーバーからの応答を受け取れませんでした。

