Zoom_In_Button ズームイン
Zoom_In_Button_Tooltip マップの縮尺を大きくする

Zoom_Out_Button ズームアウト
Zoom_Out_Button_Tooltip マップの縮尺を小さくする

Center_Button 現在地
Center_Button_Tooltip プレイヤーの位置を中心に表示する

ShowMarkersToggle_Label マーカーを表示
ShowMarkersToggle_Tooltip マップに置かれたマーカーの表示を切り替えます。
ShowPlayerNamesToggle_Label プレイヤーネームを表示
ShowPlayerNamesToggle_Tooltip 他プレイヤーの名前の表示を切り替えます。
ShowPlayerAvatarsToggle_Label プレイヤーアバターの表示
ShowPlayerAvatarsToggle_Tooltip 他プレイヤーのアバターの表示を切り替えます。

Chart 地図
Satellite 衛星写真

Quests クエスト: {0}
Quests_Tooltip クエストリストを表示
Groups グループ
Groups_Tooltip グループリストを表示
Players プレイヤー: {0}/{1}
Players_Tooltip プレイヤーリストを表示

Group_Members メンバー: {0}/{1}
Group_Rename リネーム
Group_Rename_Tooltip 名前を変更する
Group_Leave 離脱
Group_Leave_Tooltip グループから離脱する
Group_Delete 削除
Group_Delete_Tooltip グループを削除し、メンバー全員をキック
Group_Delete_Confirm 削除
Group_Delete_Confirm_Tooltip グループを削除し、メンバー全員をキック
Group_Delete_Deny キャンセル
Group_Delete_Deny_Tooltip グループを残す
Group_Join 参加
Group_Join_Tooltip 招待を受ける
Group_Ignore 無視
Group_Ignore_Tooltip 招待を無視する
Group_Create 新しいグループを作成
Group_Create_Tooltip グループのオーナーになる
Group_Promote 昇格
Group_Promote_Tooltip グループ内ランクを上げる
Group_Demote 降格
Group_Demote_Tooltip グループ内ランクを下げる

Radio_Frequency_Label ラジオ周波数:
Radio_Frequency_Tune 合わせる
Radio_Frequency_Tune_Tooltip 周波数を設定する
Radio_Frequency_Reset リセット
Radio_Frequency_Reset_Tooltip デフォルトの周波数に戻す

Group_Rank_Member メンバー
Group_Rank_Admin 管理者
Group_Rank_Owner オーナー

Streamer プレイヤー名非表示 (配信者モード)
MuteVoiceChat_Label ボイスをミュート
UnmuteVoiceChat_Label ボイスのミュートを解除
MuteTextChat_Label チャットをミュート
UnmuteTextChat_Label チャットのミュートを解除
Mute_Tooltip Mute/Unmute
Mute_On ミュート
Mute_Off ミュート解除
Mute_Tooltip プレイヤーのミュート切り替え
Vote_Kick キック投票
Vote_Kick_Tooltip キック投票(一時追放)を開始する
Group_Kick キック
Group_Kick_Tooltip メンバーをキックする
Group_Invite 招待
Group_Invite_Tooltip グループへの招待を送る
Spy スパイ
Spy_Tooltip スクリーンショットを撮影

SortPlayers_Name 名前のA-Zで並び替え
SortPlayers_Group グループで並び替え

No_Chart 地図がありません
No_GPS GPSがありません

Rep {0} [{1}]
Rep_Neutral 中立
Rep_Vigilante 自警団員
Rep_Constable 巡査
Rep_Deputy 副官
Rep_Sheriff 保安官
Rep_Paragon パラゴン
Rep_Thug ならず者
Rep_Outlaw アウトロー
Rep_Gangster ギャング
Rep_Bandit バンディット
Rep_Villain 悪党
